"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"1","10520",1,0,0,0,1,353430,2062,"1052000","02","01","Cnpj",35,"13",14620000,1,1,0,3534302,"SP","Ribeirão Preto","São Joaquim da Barra","Orlândia","-20.7169","-47.8852"
"2","10520",1,0,0,0,1,352400,2062,"1052000","04","01","Cnpj",35,"13",13295000,18,18,0,3524006,"SP","Macro Metropolitana Paulista","Jundiaí","Itupeva","-23.1526","-47.0593"
"3","10520",1,0,1,0,1,352390,2062,"1052000","02","01","Cnpj",35,"13",13311610,4,4,0,3523909,"SP","Macro Metropolitana Paulista","Sorocaba","Itu","-23.2544","-47.2927"
"4","10520",1,0,0,0,0,350630,2062,"1052000","08","01","Cnpj",35,"13",18960000,343,343,0,3506300,"SP","Assis","Ourinhos","Bernardino de Campos","-23.0164","-49.4679"
"5","10520",1,0,0,0,0,355030,2305,"1052000","04","01","Cnpj",35,"13",3515030,17,17,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"6","10520",1,0,0,0,1,352510,2062,"1052000","03","01","Cnpj",35,"13",14690000,5,5,0,3525102,"SP","Ribeirão Preto","Ribeirão Preto","Jardinópolis","-21.0176","-47.7606"
"7","10520",1,0,0,0,0,354780,2062,"1052000","01","01","Cnpj",35,"13",9030400,0,0,0,3547809,"SP","Metropolitana de São Paulo","São Paulo","Santo André","-23.6737","-46.5432"
"8","10520",1,0,0,0,1,353560,2135,"1052000","02","01","Cnpj",35,"13",12260000,1,1,0,3535606,"SP","Vale do Paraíba Paulista","Paraibuna/Paraitinga","Paraibuna","-23.3872","-45.6639"
"9","10520",1,0,0,0,0,353070,2062,"1052000","04","01","Cnpj",35,"13",13848674,20,20,0,3530706,"SP","Campinas","Mogi Mirim","Mogi Guaçu","-22.3675","-46.9428"
"10","10520",1,0,0,0,0,350450,2062,"1052000","05","01","Cnpj",35,"13",18704390,39,39,0,3504503,"SP","Bauru","Avaré","Avaré","-23.1067","-48.9251"
"11","10520",1,0,0,0,0,351520,2062,"1052000","05","01","Cnpj",35,"13",15650000,54,54,0,3515202,"SP","São José do Rio Preto","Fernandópolis","Estrela d'Oeste","-20.2875","-50.4049"
"12","10520",1,0,0,0,1,355480,2135,"1052000","02","01","Cnpj",35,"13",12120000,2,2,0,3554805,"SP","Vale do Paraíba Paulista","São José dos Campos","Tremembé","-22.9571","-45.5475"
"13","10520",1,0,0,0,1,353610,2062,"1052000","03","01","Cnpj",35,"13",18640000,9,9,0,3536109,"SP","Bauru","Botucatu","Pardinho","-23.0841","-48.3679"
"14","10520",1,0,0,0,1,354660,2062,"1052000","03","01","Cnpj",35,"13",15775000,6,6,0,3546603,"SP","São José do Rio Preto","Jales","Santa Fé do Sul","-20.2083","-50.932"
"15","10520",1,0,0,0,1,350940,2135,"1052000","05","01","Cnpj",35,"13",14240000,45,45,0,3509403,"SP","Ribeirão Preto","Batatais","Cajuru","-21.2749","-47.303"
"16","10520",1,0,0,0,1,354970,2135,"1052000","02","01","Cnpj",35,"13",13720000,1,1,0,3549706,"SP","Campinas","São João da Boa Vista","São José do Rio Pardo","-21.5953","-46.8873"
"17","10520",1,0,0,0,1,354310,2135,"1052000","04","01","Cnpj",35,"13",14445000,18,18,0,3543105,"SP","Ribeirão Preto","Franca","Ribeirão Corrente","-20.4579","-47.5904"
"18","10520",1,0,0,0,0,355080,2062,"1052000","05","01","Cnpj",35,"13",13790000,34,34,0,3550803,"SP","Campinas","São João da Boa Vista","São Sebastião da Grama","-21.7041","-46.8208"
"19","10520",1,0,0,0,0,355635,2062,"1052000","04","01","Cnpj",35,"13",12935000,24,24,0,3556354,"SP","Macro Metropolitana Paulista","Bragança Paulista","Vargem","-22.887","-46.4124"
"20","10520",1,0,0,0,0,350130,2062,"1052000","05","01","Cnpj",35,"13",19160000,33,33,0,3501301,"SP","Presidente Prudente","Presidente Prudente","Álvares Machado","-22.0764","-51.4722"
"21","10520",1,0,0,0,0,351512,2062,"1052000","03","01","Cnpj",35,"13",19350000,6,6,0,3515129,"SP","Presidente Prudente","Presidente Prudente","Emilianópolis","-21.8314","-51.4832"
"22","10520",1,0,0,0,1,351620,2135,"1052000","01","01","Cnpj",35,"13",14407702,0,0,0,3516200,"SP","Ribeirão Preto","Franca","Franca","-20.5352","-47.4039"
"23","10520",1,0,0,0,0,355030,2062,"1052000","08","01","Cnpj",35,"13",1455000,401,401,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"24","10520",1,0,0,0,0,354805,2062,"1052000","06","01","Cnpj",35,"13",16130000,97,97,0,3548054,"SP","Araçatuba","Araçatuba","Santo Antônio do Aracanguá","-20.9331","-50.498"
"25","10520",1,0,0,0,1,350940,2135,"1052000","03","01","Cnpj",35,"13",14240000,5,5,0,3509403,"SP","Ribeirão Preto","Batatais","Cajuru","-21.2749","-47.303"
"26","10520",1,0,0,0,0,350320,2062,"1052000","07","01","Cnpj",35,"13",14810060,226,226,0,3503208,"SP","Araraquara","Araraquara","Araraquara","-21.7845","-48.178"
