"","CO_MUNICIPIO","NOME_MUNICIPIO","QTD"
"1",3500105,"Adamantina",1
"2",3500402,"Águas da Prata",1
"3",3500501,"Águas de Lindóia",1
"4",3500709,"Agudos",1
"5",3500758,"Alambari",1
"6",3501004,"Altinópolis",2
"7",3501301,"Álvares Machado",1
"8",3501905,"Amparo",2
"9",3502101,"Andradina",1
"10",3502200,"Angatuba",1
"11",3502804,"Araçatuba",4
"12",3502903,"Araçoiaba da Serra",2
"13",3503000,"Aramina",2
"14",3503208,"Araraquara",3
"15",3503307,"Araras",2
"16",3503505,"Areias",1
"17",3504008,"Assis",1
"18",3504107,"Atibaia",3
"19",3504503,"Avaré",1
"20",3505203,"Bariri",1
"21",3505302,"Barra Bonita",1
"22",3505500,"Barretos",4
"23",3505708,"Barueri",1
"24",3505906,"Batatais",2
"25",3506003,"Bauru",1
"26",3506102,"Bebedouro",1
"27",3506300,"Bernardino de Campos",1
"28",3506706,"Boa Esperança do Sul",1
"29",3506805,"Bocaina",1
"30",3507001,"Boituva",2
"31",3507100,"Bom Jesus dos Perdões",1
"32",3507605,"Bragança Paulista",2
"33",3507803,"Brodowski",3
"34",3507902,"Brotas",3
"35",3508009,"Buri",1
"36",3508108,"Buritama",1
"37",3508603,"Cachoeira Paulista",1
"38",3508702,"Caconde",2
"39",3508900,"Caiabu",1
"40",3509403,"Cajuru",5
"41",3510005,"Cândido Mota",2
"42",3510203,"Capão Bonito",1
"43",3510401,"Capivari",1
"44",3510807,"Casa Branca",1
"45",3510906,"Cássia dos Coqueiros",1
"46",3511102,"Catanduva",2
"47",3511409,"Cerqueira César",1
"48",3512001,"Colina",1
"49",3512308,"Conchas",3
"50",3512803,"Cosmópolis",1
"51",3513108,"Cravinhos",1
"52",3513306,"Cruzália",1
"53",3513405,"Cruzeiro",1
"54",3513603,"Cunha",4
"55",3513702,"Descalvado",1
"56",3513900,"Divinolândia",1
"57",3514106,"Dois Córregos",1
"58",3514304,"Dourado",1
"59",3514403,"Dracena",1
"60",3514700,"Echaporã",1
"61",3515004,"Embu das Artes",1
"62",3515129,"Emilianópolis",2
"63",3515186,"Espírito Santo do Pinhal",3
"64",3515202,"Estrela d'Oeste",1
"65",3516200,"Franca",4
"66",3516705,"Garça",2
"67",3517307,"Guaimbê",1
"68",3517406,"Guaíra",1
"69",3517802,"Guaraçaí",1
"70",3518008,"Guarani d'Oeste",1
"71",3518404,"Guaratinguetá",1
"72",3518503,"Guareí",1
"73",3518602,"Guariba",1
"74",3518800,"Guarulhos",1
"75",3519006,"Herculândia",2
"76",3519907,"Iepê",1
"77",3520202,"Igaratá",1
"78",3521101,"Ipeúna",1
"79",3521705,"Itaberá",1
"80",3522000,"Itaju",1
"81",3522307,"Itapetininga",4
"82",3522406,"Itapeva",2
"83",3522604,"Itapira",2
"84",3523404,"Itatiba",2
"85",3523701,"Itirapuã",2
"86",3523800,"Itobi",1
"87",3523909,"Itu",2
"88",3524006,"Itupeva",3
"89",3524600,"Jacupiranga",3
"90",3524907,"Jambeiro",1
"91",3525102,"Jardinópolis",1
"92",3525508,"Joanópolis",1
"93",3525854,"Jumirim",2
"94",3525904,"Jundiaí",2
"95",3526704,"Leme",1
"96",3527207,"Lorena",1
"97",3527702,"Luiziânia",1
"98",3527900,"Lutécia",1
"99",3528106,"Macaubal",1
"100",3528502,"Mairiporã",1
"101",3529005,"Marília",1
"102",3529302,"Matão",2
"103",3529609,"Meridiano",1
"104",3530201,"Mirante do Paranapanema",1
"105",3530409,"Mirassolândia",1
"106",3530508,"Mococa",4
"107",3530706,"Mogi Guaçu",2
"108",3530805,"Mogi Mirim",1
"109",3531308,"Monte Alto",1
"110",3531407,"Monte Aprazível",1
"111",3532801,"Nova Aliança",2
"112",3533502,"Novo Horizonte",3
