"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"1","46125",1,0,0,0,1,352900,2135,"4612500","02","01","Cnpj",35,"17",17504060,1,1,0,3529005,"SP","Marília","Marília","Marília","-22.2171","-49.9501"
"2","46125",1,0,0,0,0,353730,2135,"4612500","02","01","Cnpj",35,"17",16300001,1,1,0,3537305,"SP","Araçatuba","Birigui","Penápolis","-21.4148","-50.0769"
"3","46125",1,0,0,0,1,351020,2135,"4612500","04","01","Cnpj",35,"17",18304610,10,10,0,3510203,"SP","Itapetininga","Capão Bonito","Capão Bonito","-24.0113","-48.3482"
"4","46125",1,0,0,0,0,353650,2305,"4612500","02","01","Cnpj",35,"17",13140729,3,3,0,3536505,"SP","Campinas","Campinas","Paulínia","-22.7542","-47.1488"
"5","46125",1,0,0,0,1,350390,2062,"4612500","02","01","Cnpj",35,"17",7403075,1,1,0,3503901,"SP","Metropolitana de São Paulo","Guarulhos","Arujá","-23.3965","-46.32"
"6","46125",1,0,0,0,0,351740,2062,"4612500","02","01","Cnpj",35,"17",14790000,1,1,0,3517406,"SP","Ribeirão Preto","São Joaquim da Barra","Guaíra","-20.3196","-48.312"
"7","46125",1,0,0,0,0,351880,2135,"4612500","02","01","Cnpj",35,"17",7177210,1,1,0,3518800,"SP","Metropolitana de São Paulo","Guarulhos","Guarulhos","-23.4538","-46.5333"
"8","46125",1,0,0,0,0,353800,2062,"4612500","02","01","Cnpj",35,"17",12410200,1,1,0,3538006,"SP","Vale do Paraíba Paulista","São José dos Campos","Pindamonhangaba","-22.9246","-45.4613"
"9","46125",1,0,0,0,0,353650,2062,"4612500","01","01","Cnpj",35,"17",13140182,0,0,0,3536505,"SP","Campinas","Campinas","Paulínia","-22.7542","-47.1488"
"10","46125",1,0,0,0,0,350940,2062,"4612500","02","01","Cnpj",35,"17",14240000,1,1,0,3509403,"SP","Ribeirão Preto","Batatais","Cajuru","-21.2749","-47.303"
"11","46125",1,0,0,0,1,352230,2062,"4612500","01","01","Cnpj",35,"17",18207765,0,0,0,3522307,"SP","Itapetininga","Itapetininga","Itapetininga","-23.5886","-48.0483"
"12","46125",1,0,0,0,0,353440,2240,"4612500","02","01","Cnpj",35,"17",6010000,1,1,0,3534401,"SP","Metropolitana de São Paulo","Osasco","Osasco","-23.5324","-46.7916"
"13","46125",1,0,0,0,1,352190,2062,"4612500","02","01","Cnpj",35,"17",15840000,4,4,0,3521903,"SP","São José do Rio Preto","Novo Horizonte","Itajobi","-21.3123","-49.0629"
"14","46125",1,0,0,0,0,355030,2062,"4612500","02","01","Cnpj",35,"17",4806000,1,1,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"15","46125",1,0,0,0,1,354340,2062,"4612500","02","01","Cnpj",35,"17",14051420,1,1,0,3543402,"SP","Ribeirão Preto","Ribeirão Preto","Ribeirão Preto","-21.1699","-47.8099"
"16","46125",1,0,0,0,0,355030,2062,"4612500","02","01","Cnpj",35,"17",4537080,2,2,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"17","46125",1,0,0,0,0,354980,2062,"4612500","02","01","Cnpj",35,"17",15085480,1,1,0,3549805,"SP","São José do Rio Preto","São José do Rio Preto","São José do Rio Preto","-20.8113","-49.3758"
"18","46125",1,0,0,0,0,353930,2062,"4612500","02","01","Cnpj",35,"17",13630100,1,1,0,3539301,"SP","Campinas","Pirassununga","Pirassununga","-21.996","-47.4257"
"19","46125",1,0,0,0,1,355330,2062,"4612500","02","01","Cnpj",35,"17",13710000,1,1,0,3553302,"SP","Campinas","São João da Boa Vista","Tambaú","-21.7029","-47.2703"
"20","46125",1,0,0,0,0,354990,2062,"4612500","02","01","Cnpj",35,"17",12224110,2,2,0,3549904,"SP","Vale do Paraíba Paulista","São José dos Campos","São José dos Campos","-23.1896","-45.8841"
"21","46125",1,0,0,0,1,350600,2062,"4612500","02","01","Cnpj",35,"17",17055780,2,2,0,3506003,"SP","Bauru","Bauru","Bauru","-22.3246","-49.0871"
"22","46125",1,0,0,0,0,354780,2062,"4612500","02","01","Cnpj",35,"17",9090401,1,1,0,3547809,"SP","Metropolitana de São Paulo","São Paulo","Santo André","-23.6737","-46.5432"
"23","46125",1,0,0,0,1,355030,2062,"4612500","01","01","Cnpj",35,"17",5044040,0,0,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"24","46125",1,0,0,0,1,353370,2062,"4612500","02","01","Cnpj",35,"17",17540000,2,2,0,3533700,"SP","Marília","Marília","Ocauçu","-22.438","-49.922"
"25","46125",1,0,0,0,0,350950,2062,"4612500","02","01","Cnpj",35,"17",13080650,1,1,0,3509502,"SP","Campinas","Campinas","Campinas","-22.9053","-47.0659"
"26","46125",1,0,0,0,0,355030,2062,"4612500","03","01","Cnpj",35,"17",4546004,5,5,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"27","46125",1,0,0,0,1,350550,2305,"4612500","03","01","Cnpj",35,"17",14787040,5,5,0,3505500,"SP","Ribeirão Preto","Barretos","Barretos","-20.5531","-48.5698"
