"","CO_MUNICIPIO","NOME_MUNICIPIO","QTD"
"1",3500105,"Adamantina",1
"2",3500303,"Aguaí",2
"3",3500402,"Águas da Prata",4
"4",3500709,"Agudos",3
"5",3501004,"Altinópolis",1
"6",3501608,"Americana",8
"7",3501905,"Amparo",8
"8",3502002,"Analândia",1
"9",3502507,"Aparecida",1
"10",3502754,"Araçariguama",4
"11",3502804,"Araçatuba",11
"12",3502903,"Araçoiaba da Serra",7
"13",3503208,"Araraquara",10
"14",3503307,"Araras",6
"15",3503356,"Arco-Íris",1
"16",3503505,"Areias",1
"17",3503604,"Areiópolis",2
"18",3503802,"Artur Nogueira",4
"19",3503901,"Arujá",3
"20",3504008,"Assis",15
"21",3504107,"Atibaia",8
"22",3504503,"Avaré",4
"23",3504602,"Bady Bassitt",2
"24",3505203,"Bariri",3
"25",3505302,"Barra Bonita",2
"26",3505401,"Barra do Turvo",1
"27",3505500,"Barretos",10
"28",3505708,"Barueri",7
"29",3505807,"Bastos",6
"30",3505906,"Batatais",1
"31",3506003,"Bauru",16
"32",3506102,"Bebedouro",5
"33",3506300,"Bernardino de Campos",1
"34",3506508,"Birigui",3
"35",3506706,"Boa Esperança do Sul",1
"36",3506805,"Bocaina",1
"37",3507001,"Boituva",3
"38",3507209,"Borá",1
"39",3507308,"Boracéia",1
"40",3507407,"Borborema",1
"41",3507456,"Borebi",1
"42",3507506,"Botucatu",9
"43",3507605,"Bragança Paulista",6
"44",3507803,"Brodowski",2
"45",3507902,"Brotas",3
"46",3508108,"Buritama",1
"47",3508405,"Cabreúva",2
"48",3508504,"Caçapava",1
"49",3508801,"Cafelândia",2
"50",3509007,"Caieiras",2
"51",3509205,"Cajamar",4
"52",3509304,"Cajobi",2
"53",3509403,"Cajuru",2
"54",3509452,"Campina do Monte Alegre",1
"55",3509502,"Campinas",38
"56",3509601,"Campo Limpo Paulista",1
"57",3509700,"Campos do Jordão",1
"58",3509908,"Cananéia",2
"59",3510005,"Cândido Mota",1
"60",3510153,"Canitar",1
"61",3510401,"Capivari",3
"62",3510500,"Caraguatatuba",3
"63",3510609,"Carapicuíba",4
"64",3511102,"Catanduva",14
"65",3511409,"Cerqueira César",2
"66",3511508,"Cerquilho",3
"67",3511607,"Cesário Lange",2
"68",3512209,"Conchal",4
"69",3512308,"Conchas",1
"70",3512407,"Cordeirópolis",1
"71",3512803,"Cosmópolis",1
"72",3513009,"Cotia",16
"73",3513108,"Cravinhos",5
"74",3513207,"Cristais Paulista",1
