"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"1","01342",1,0,0,0,0,350190,2062,"0134200","04","01","Cnpj",35,"25",13900970,24,24,0,3501905,"SP","Campinas","Amparo","Amparo","-22.7088","-46.772"
"2","01342",1,0,0,0,0,351670,4120,"0134200","02","01","Cnpj",35,"25",17400000,1,1,0,3516705,"SP","Marília","Marília","Garça","-22.2125","-49.6546"
"3","01342",1,0,0,0,0,355160,4081,"0134200","02","01","Cnpj",35,"25",13930000,2,2,0,3551603,"SP","Campinas","Amparo","Serra Negra","-22.6139","-46.7033"
"4","01342",1,0,0,0,1,355660,2062,"0134200","01","01","Cnpj",35,"25",17560000,0,0,0,3556602,"SP","Marília","Marília","Vera Cruz","-22.2183","-49.8207"
"5","01342",1,0,0,0,1,351320,2062,"0134200","02","01","Cnpj",35,"25",14460000,1,1,0,3513207,"SP","Ribeirão Preto","Franca","Cristais Paulista","-20.4036","-47.4209"
"6","01342",1,0,0,0,0,355080,4120,"0134200","04","01","Cnpj",35,"25",13790000,13,13,0,3550803,"SP","Campinas","São João da Boa Vista","São Sebastião da Grama","-21.7041","-46.8208"
"7","01342",1,0,0,0,0,350870,4081,"0134200","02","05","Caepf",35,"25",13770000,1,1,0,3508702,"SP","Campinas","São João da Boa Vista","Caconde","-21.528","-46.6437"
"8","01342",1,0,0,0,0,351320,4120,"0134200","01","05","Caepf",35,"25",14460000,0,0,0,3513207,"SP","Ribeirão Preto","Franca","Cristais Paulista","-20.4036","-47.4209"
"9","01342",1,0,0,0,0,351620,4120,"0134200","02","05","Caepf",35,"25",14402347,3,3,0,3516200,"SP","Ribeirão Preto","Franca","Franca","-20.5352","-47.4039"
"10","01342",1,0,0,0,0,351320,4081,"0134200","02","05","Caepf",35,"25",14460000,1,1,0,3513207,"SP","Ribeirão Preto","Franca","Cristais Paulista","-20.4036","-47.4209"
"11","01342",1,0,0,0,0,353600,4081,"0134200","02","05","Caepf",35,"25",17730000,1,1,0,3536000,"SP","Presidente Prudente","Adamantina","Parapuã","-21.7792","-50.7949"
"12","01342",1,0,0,0,0,355160,4081,"0134200","02","05","Caepf",35,"25",13930000,4,4,0,3551603,"SP","Campinas","Amparo","Serra Negra","-22.6139","-46.7033"
"13","01342",1,0,0,0,0,350190,4081,"0134200","02","05","Caepf",35,"25",13900970,4,4,0,3501905,"SP","Campinas","Amparo","Amparo","-22.7088","-46.772"
"14","01342",1,0,0,0,0,351320,4120,"0134200","02","05","Caepf",35,"25",14460000,1,1,0,3513207,"SP","Ribeirão Preto","Franca","Cristais Paulista","-20.4036","-47.4209"
"15","01342",1,0,0,0,0,351320,4120,"0134200","02","05","Caepf",35,"25",14460000,4,4,0,3513207,"SP","Ribeirão Preto","Franca","Cristais Paulista","-20.4036","-47.4209"
