"","CO_MUNICIPIO","NOME_MUNICIPIO","QTD"
"1",3500105,"Adamantina",1
"2",3501608,"Americana",8
"3",3501707,"Américo Brasiliense",1
"4",3501905,"Amparo",1
"5",3502705,"Apiaí",1
"6",3503208,"Araraquara",11
"7",3503307,"Araras",1
"8",3503901,"Arujá",2
"9",3504107,"Atibaia",8
"10",3505203,"Bariri",2
"11",3505500,"Barretos",2
"12",3505609,"Barrinha",1
"13",3505708,"Barueri",2
"14",3505906,"Batatais",7
"15",3506003,"Bauru",6
"16",3506508,"Birigui",15
"17",3507001,"Boituva",5
"18",3507308,"Boracéia",1
"19",3507506,"Botucatu",3
"20",3507605,"Bragança Paulista",31
"21",3507803,"Brodowski",2
"22",3508405,"Cabreúva",1
"23",3508504,"Caçapava",4
"24",3508801,"Cafelândia",1
"25",3509007,"Caieiras",2
"26",3509205,"Cajamar",2
"27",3509502,"Campinas",26
"28",3509601,"Campo Limpo Paulista",1
"29",3510401,"Capivari",3
"30",3510609,"Carapicuíba",6
"31",3511300,"Cedral",1
"32",3511706,"Charqueada",1
"33",3512407,"Cordeirópolis",1
"34",3512506,"Coroados",1
"35",3513009,"Cotia",2
"36",3513108,"Cravinhos",3
"37",3513702,"Descalvado",1
"38",3513801,"Diadema",50
"39",3515004,"Embu das Artes",1
"40",3515186,"Espírito Santo do Pinhal",1
"41",3515509,"Fernandópolis",3
"42",3515707,"Ferraz de Vasconcelos",1
"43",3516200,"Franca",28
"44",3516309,"Francisco Morato",2
"45",3516705,"Garça",6
"46",3518800,"Guarulhos",33
"47",3519055,"Holambra",1
"48",3519071,"Hortolândia",2
"49",3519600,"Ibitinga",1
"50",3520442,"Ilha Solteira",1
"51",3520509,"Indaiatuba",21
"52",3521903,"Itajobi",1
"53",3522208,"Itapecerica da Serra",3
"54",3522307,"Itapetininga",1
"55",3522505,"Itapevi",5
"56",3522604,"Itapira",2
"57",3523107,"Itaquaquecetuba",5
"58",3523404,"Itatiba",7
"59",3523909,"Itu",16
"60",3524006,"Itupeva",2
"61",3524303,"Jaboticabal",2
"62",3524402,"Jacareí",1
"63",3525201,"Jarinu",3
"64",3525300,"Jaú",5
"65",3525508,"Joanópolis",1
"66",3525904,"Jundiaí",21
"67",3526407,"Laranjal Paulista",3
"68",3526704,"Leme",1
"69",3526902,"Limeira",66
"70",3527207,"Lorena",1
"71",3528502,"Mairiporã",1
"72",3529005,"Marília",5
"73",3529302,"Matão",9
"74",3529401,"Mauá",19
"75",3530300,"Mirassol",4
"76",3530508,"Mococa",2
"77",3530607,"Mogi das Cruzes",4
"78",3530706,"Mogi Guaçu",3
"79",3530805,"Mogi Mirim",2
"80",3531308,"Monte Alto",2
"81",3531407,"Monte Aprazível",1
"82",3531803,"Monte Mor",1
"83",3532306,"Natividade da Serra",1
"84",3532504,"Neves Paulista",1
"85",3533403,"Nova Odessa",4
"86",3534302,"Orlândia",1
"87",3534401,"Osasco",11
"88",3536000,"Parapuã",1
"89",3536703,"Pederneiras",4
"90",3537008,"Pedregulho",1
"91",3537107,"Pedreira",4
"92",3538006,"Pindamonhangaba",2
"93",3538204,"Pinhalzinho",1
"94",3538709,"Piracicaba",5
"95",3539806,"Poá",2
"96",3540002,"Pompéia",5
"97",3540705,"Porto Ferreira",1
"98",3540804,"Potirendaba",1
"99",3541505,"Presidente Venceslau",1
"100",3543303,"Ribeirão Pires",3
"101",3543402,"Ribeirão Preto",8
"102",3543907,"Rio Claro",14
"103",3545209,"Salto",14
"104",3545308,"Salto de Pirapora",1
"105",3545803,"Santa Bárbara d'Oeste",10
"106",3546603,"Santa Fé do Sul",2
"107",3547304,"Santana de Parnaíba",1
"108",3547502,"Santa Rita do Passa Quatro",1
"109",3547809,"Santo André",34
"110",3548708,"São Bernardo do Campo",28
"111",3548807,"São Caetano do Sul",14
"112",3548906,"São Carlos",26
"113",3549102,"São João da Boa Vista",1
"114",3549805,"São José do Rio Preto",10
"115",3549904,"São José dos Campos",13
"116",3550308,"São Paulo",250
"117",3550407,"São Pedro",1
"118",3551702,"Sertãozinho",6
"119",3552106,"Socorro",2
"120",3552205,"Sorocaba",44
"121",3552403,"Sumaré",4
"122",3552502,"Suzano",3
"123",3552809,"Taboão da Serra",7
"124",3553302,"Tambaú",1
"125",3554102,"Taubaté",6
"126",3554805,"Tremembé",1
"127",3554904,"Três Fronteiras",1
"128",3556206,"Valinhos",18
"129",3556354,"Vargem",1
"130",3556453,"Vargem Grande Paulista",1
"131",3556503,"Várzea Paulista",12
"132",3556701,"Vinhedo",10
"133",3557006,"Votorantim",2
"134",3557105,"Votuporanga",1
