"","CO_MUNICIPIO","NOME_MUNICIPIO.x","QTD"
"1",3500105,"Adamantina",27
"2",3500204,"Adolfo",0
"3",3500303,"Aguaí",5
"4",3500402,"Águas da Prata",2
"5",3500501,"Águas de Lindóia",140
"6",3500550,"Águas de Santa Bárbara",0
"7",3500600,"Águas de São Pedro",2
"8",3500709,"Agudos",12
"9",3500758,"Alambari",1
"10",3500808,"Alfredo Marcondes",0
"11",3500907,"Altair",0
"12",3501004,"Altinópolis",11
"13",3501103,"Alto Alegre",5
"14",3501152,"Alumínio",1
"15",3501202,"Álvares Florence",1
"16",3501301,"Álvares Machado",6
"17",3501400,"Álvaro de Carvalho",0
"18",3501509,"Alvinlândia",0
"19",3501608,"Americana",437
"20",3501707,"Américo Brasiliense",5
"21",3501806,"Américo de Campos",2
"22",3501905,"Amparo",59
"23",3502002,"Analândia",2
"24",3502101,"Andradina",8
"25",3502200,"Angatuba",6
"26",3502309,"Anhembi",0
"27",3502408,"Anhumas",0
"28",3502507,"Aparecida",13
"29",3502606,"Aparecida d'Oeste",1
"30",3502705,"Apiaí",4
"31",3502754,"Araçariguama",5
"32",3502804,"Araçatuba",78
"33",3502903,"Araçoiaba da Serra",1
"34",3503000,"Aramina",0
"35",3503109,"Arandu",2
"36",3503158,"Arapeí",0
"37",3503208,"Araraquara",66
"38",3503307,"Araras",25
"39",3503356,"Arco-Íris",0
"40",3503406,"Arealva",10
"41",3503505,"Areias",0
"42",3503604,"Areiópolis",1
"43",3503703,"Ariranha",1
"44",3503802,"Artur Nogueira",13
"45",3503901,"Arujá",35
"46",3503950,"Aspásia",1
"47",3504008,"Assis",16
"48",3504107,"Atibaia",43
"49",3504206,"Auriflama",99
"50",3504305,"Avaí",0
"51",3504404,"Avanhandava",0
"52",3504503,"Avaré",54
"53",3504602,"Bady Bassitt",12
"54",3504701,"Balbinos",0
"55",3504800,"Bálsamo",6
"56",3504909,"Bananal",0
"57",3505005,"Barão de Antonina",12
"58",3505104,"Barbosa",1
"59",3505203,"Bariri",37
"60",3505302,"Barra Bonita",17
"61",3505351,"Barra do Chapéu",0
"62",3505401,"Barra do Turvo",0
"63",3505500,"Barretos",34
"64",3505609,"Barrinha",3
"65",3505708,"Barueri",79
"66",3505807,"Bastos",4
"67",3505906,"Batatais",52
"68",3506003,"Bauru",82
"69",3506102,"Bebedouro",20
"70",3506201,"Bento de Abreu",0
"71",3506300,"Bernardino de Campos",20
"72",3506359,"Bertioga",5
"73",3506409,"Bilac",7
"74",3506508,"Birigui",171
"75",3506607,"Biritiba Mirim",0
"76",3506706,"Boa Esperança do Sul",9
"77",3506805,"Bocaina",21
"78",3506904,"Bofete",0
"79",3507001,"Boituva",20
"80",3507100,"Bom Jesus dos Perdões",32
"81",3507159,"Bom Sucesso de Itararé",0
"82",3507209,"Borá",0
"83",3507308,"Boracéia",9
"84",3507407,"Borborema",16
"85",3507456,"Borebi",0
"86",3507506,"Botucatu",39
"87",3507605,"Bragança Paulista",99
"88",3507704,"Braúna",0
"89",3507753,"Brejo Alegre",0
"90",3507803,"Brodowski",39
"91",3507902,"Brotas",2
"92",3508009,"Buri",2
"93",3508108,"Buritama",5
"94",3508207,"Buritizal",0
"95",3508306,"Cabrália Paulista",3
"96",3508405,"Cabreúva",12
"97",3508504,"Caçapava",7
"98",3508603,"Cachoeira Paulista",3
"99",3508702,"Caconde",12
"100",3508801,"Cafelândia",17
"101",3508900,"Caiabu",0
"102",3509007,"Caieiras",37
"103",3509106,"Caiuá",0
"104",3509205,"Cajamar",14
"105",3509254,"Cajati",2
"106",3509304,"Cajobi",2
"107",3509403,"Cajuru",12
"108",3509452,"Campina do Monte Alegre",1
"109",3509502,"Campinas",289
"110",3509601,"Campo Limpo Paulista",13
"111",3509700,"Campos do Jordão",12
"112",3509809,"Campos Novos Paulista",0
"113",3509908,"Cananéia",1
"114",3509957,"Canas",0
"115",3510005,"Cândido Mota",6
"116",3510104,"Cândido Rodrigues",2
"117",3510153,"Canitar",0
"118",3510203,"Capão Bonito",11
"119",3510302,"Capela do Alto",6
"120",3510401,"Capivari",82
"121",3510500,"Caraguatatuba",15
"122",3510609,"Carapicuíba",109
"123",3510708,"Cardoso",4
"124",3510807,"Casa Branca",5
"125",3510906,"Cássia dos Coqueiros",1
"126",3511003,"Castilho",2
"127",3511102,"Catanduva",49
"128",3511201,"Catiguá",5
"129",3511300,"Cedral",14
"130",3511409,"Cerqueira César",2
"131",3511508,"Cerquilho",139
"132",3511607,"Cesário Lange",6
"133",3511706,"Charqueada",6
"134",3557204,"Chavantes",3
"135",3511904,"Clementina",2
"136",3512001,"Colina",0
"137",3512100,"Colômbia",2
"138",3512209,"Conchal",8
