"","CO_MUNICIPIO","NOME_MUNICIPIO","QTD"
"1",3500105,"Adamantina",6
"2",3501608,"Americana",18
"3",3501905,"Amparo",5
"4",3502101,"Andradina",1
"5",3502507,"Aparecida",1
"6",3502705,"Apiaí",1
"7",3502804,"Araçatuba",22
"8",3502903,"Araçoiaba da Serra",1
"9",3503208,"Araraquara",34
"10",3503307,"Araras",4
"11",3503901,"Arujá",3
"12",3504008,"Assis",4
"13",3504107,"Atibaia",11
"14",3504305,"Avaí",1
"15",3504503,"Avaré",5
"16",3504800,"Bálsamo",1
"17",3505203,"Bariri",7
"18",3505500,"Barretos",8
"19",3505708,"Barueri",12
"20",3505906,"Batatais",9
"21",3506003,"Bauru",26
"22",3506102,"Bebedouro",2
"23",3506409,"Bilac",1
"24",3506508,"Birigui",4
"25",3507001,"Boituva",7
"26",3507100,"Bom Jesus dos Perdões",1
"27",3507407,"Borborema",2
"28",3507506,"Botucatu",7
"29",3507605,"Bragança Paulista",25
"30",3507902,"Brotas",2
"31",3508009,"Buri",1
"32",3508504,"Caçapava",3
"33",3508702,"Caconde",1
"34",3508900,"Caiabu",1
"35",3509007,"Caieiras",8
"36",3509205,"Cajamar",4
"37",3509403,"Cajuru",3
"38",3509502,"Campinas",93
"39",3509601,"Campo Limpo Paulista",6
"40",3510005,"Cândido Mota",1
"41",3510401,"Capivari",2
"42",3510500,"Caraguatatuba",3
"43",3510609,"Carapicuíba",8
"44",3511102,"Catanduva",5
"45",3511508,"Cerquilho",2
"46",3512001,"Colina",1
"47",3512803,"Cosmópolis",3
"48",3513009,"Cotia",16
"49",3513108,"Cravinhos",5
"50",3513504,"Cubatão",1
"51",3513702,"Descalvado",1
"52",3513801,"Diadema",22
"53",3514106,"Dois Córregos",1
"54",3514304,"Dourado",1
"55",3514403,"Dracena",4
"56",3514700,"Echaporã",1
"57",3514957,"Embaúba",1
"58",3515004,"Embu das Artes",2
"59",3515186,"Espírito Santo do Pinhal",1
"60",3515400,"Fartura",1
"61",3515509,"Fernandópolis",2
"62",3515707,"Ferraz de Vasconcelos",4
"63",3516200,"Franca",19
"64",3516309,"Francisco Morato",4
"65",3516408,"Franco da Rocha",2
"66",3516606,"Gália",1
"67",3516705,"Garça",1
"68",3516903,"General Salgado",1
"69",3517208,"Guaiçara",1
"70",3517406,"Guaíra",2
"71",3517703,"Guará",1
"72",3518206,"Guararapes",1
"73",3518404,"Guaratinguetá",4
"74",3518701,"Guarujá",1
"75",3518800,"Guarulhos",31
"76",3519006,"Herculândia",1
"77",3519071,"Hortolândia",21
"78",3519105,"Iacanga",2
"79",3519303,"Ibaté",1
"80",3519402,"Ibirá",2
"81",3519600,"Ibitinga",1
"82",3519709,"Ibiúna",1
"83",3519808,"Icém",1
"84",3519907,"Iepê",1
"85",3520301,"Iguape",1
"86",3520400,"Ilhabela",1
"87",3520509,"Indaiatuba",16
"88",3521903,"Itajobi",1
"89",3522208,"Itapecerica da Serra",3
"90",3522307,"Itapetininga",5
"91",3522505,"Itapevi",1
"92",3522604,"Itapira",6
"93",3522703,"Itápolis",3
"94",3523107,"Itaquaquecetuba",3
"95",3523206,"Itararé",3
"96",3523305,"Itariri",1
"97",3523404,"Itatiba",10
"98",3523602,"Itirapina",1
"99",3523909,"Itu",12
"100",3524006,"Itupeva",4
"101",3524204,"Jaborandi",1
"102",3524303,"Jaboticabal",1
"103",3524402,"Jacareí",5
"104",3524808,"Jales",9
"105",3525102,"Jardinópolis",2
"106",3525201,"Jarinu",4
"107",3525300,"Jaú",13
"108",3525706,"José Bonifácio",2
"109",3525904,"Jundiaí",20
"110",3526100,"Juquiá",1
"111",3526704,"Leme",8
"112",3526803,"Lençóis Paulista",1
"113",3526902,"Limeira",9
"114",3527009,"Lindóia",2
"115",3527108,"Lins",5
"116",3527207,"Lorena",5
"117",3528403,"Mairinque",1
"118",3528502,"Mairiporã",7
"119",3528809,"Maracaí",1
"120",3529005,"Marília",23
"121",3529302,"Matão",5
"122",3529401,"Mauá",12
"123",3529807,"Mineiros do Tietê",2
"124",3530102,"Mirandópolis",2
"125",3530201,"Mirante do Paranapanema",1
"126",3530300,"Mirassol",2
"127",3530508,"Mococa",3
"128",3530607,"Mogi das Cruzes",17
"129",3530706,"Mogi Guaçu",4
"130",3530805,"Mogi Mirim",10
"131",3531001,"Monções",2
"132",3531100,"Mongaguá",1
"133",3531209,"Monte Alegre do Sul",1
"134",3531308,"Monte Alto",2
"135",3531407,"Monte Aprazível",3
"136",3531803,"Monte Mor",1
"137",3531902,"Morro Agudo",1
"138",3532009,"Morungaba",2
"139",3532108,"Murutinga do Sul",1
"140",3533007,"Nova Granada",1
"141",3533304,"Nova Luzitânia",1
"142",3533403,"Nova Odessa",3
"143",3533502,"Novo Horizonte",2
"144",3533908,"Olímpia",1
"145",3534005,"Onda Verde",1
"146",3534302,"Orlândia",4
"147",3534401,"Osasco",16
"148",3534609,"Osvaldo Cruz",9
"149",3534708,"Ourinhos",12
"150",3534757,"Ouroeste",1
"151",3535101,"Palmares Paulista",2
"152",3535309,"Palmital",2
"153",3535507,"Paraguaçu Paulista",3
"154",3535606,"Paraibuna",1
"155",3535804,"Paranapanema",2
"156",3536208,"Pariquera-Açu",1
"157",3536505,"Paulínia",5
"158",3536703,"Pederneiras",3
"159",3536901,"Pedranópolis",2
"160",3537156,"Pedrinhas Paulista",1
"161",3537305,"Penápolis",2
"162",3537602,"Peruíbe",1
"163",3538006,"Pindamonhangaba",5
"164",3538204,"Pinhalzinho",1
"165",3538600,"Piracaia",1
"166",3538709,"Piracicaba",28
"167",3538808,"Piraju",1
"168",3538907,"Pirajuí",2
"169",3539301,"Pirassununga",11
"170",3539400,"Piratininga",2
"171",3539806,"Poá",8
"172",3540002,"Pompéia",1
"173",3540101,"Pongaí",1
"174",3540606,"Porto Feliz",2
"175",3540705,"Porto Ferreira",2
"176",3541000,"Praia Grande",6
"177",3541307,"Presidente Epitácio",1
"178",3541406,"Presidente Prudente",16
"179",3541505,"Presidente Venceslau",1
"180",3542206,"Rancharia",1
"181",3542602,"Registro",5
"182",3542909,"Ribeirão Bonito",1
"183",3543303,"Ribeirão Pires",2
"184",3543402,"Ribeirão Preto",83
"185",3543600,"Rifaina",1
"186",3543808,"Rinópolis",1
"187",3543907,"Rio Claro",30
"188",3544509,"Rubinéia",1
"189",3545209,"Salto",3
"190",3545803,"Santa Bárbara d'Oeste",5
"191",3546207,"Santa Cruz da Conceição",1
"192",3546306,"Santa Cruz das Palmeiras",2
"193",3546405,"Santa Cruz do Rio Pardo",1
"194",3546603,"Santa Fé do Sul",3
"195",3547304,"Santana de Parnaíba",4
"196",3547502,"Santa Rita do Passa Quatro",3
"197",3547601,"Santa Rosa de Viterbo",2
"198",3547700,"Santo Anastácio",2
"199",3547809,"Santo André",39
"200",3548005,"Santo Antônio de Posse",1
"201",3548500,"Santos",18
"202",3548708,"São Bernardo do Campo",42
"203",3548807,"São Caetano do Sul",37
"204",3548906,"São Carlos",40
"205",3549102,"São João da Boa Vista",11
"206",3549409,"São Joaquim da Barra",2
"207",3549706,"São José do Rio Pardo",4
"208",3549805,"São José do Rio Preto",58
"209",3549904,"São José dos Campos",30
