"","CO_MUNICIPIO","NOME_MUNICIPIO","QTD"
"1",3500105,"Adamantina",40
"2",3500204,"Adolfo",4
"3",3500303,"Aguaí",9
"4",3500402,"Águas da Prata",2
"5",3500501,"Águas de Lindóia",19
"6",3500550,"Águas de Santa Bárbara",4
"7",3500600,"Águas de São Pedro",2
"8",3500709,"Agudos",27
"9",3500808,"Alfredo Marcondes",1
"10",3501004,"Altinópolis",11
"11",3501103,"Alto Alegre",5
"12",3501152,"Alumínio",4
"13",3501202,"Álvares Florence",1
"14",3501301,"Álvares Machado",20
"15",3501608,"Americana",393
"16",3501707,"Américo Brasiliense",16
"17",3501806,"Américo de Campos",3
"18",3501905,"Amparo",84
"19",3502101,"Andradina",47
"20",3502200,"Angatuba",13
"21",3502309,"Anhembi",3
"22",3502507,"Aparecida",67
"23",3502606,"Aparecida d'Oeste",1
"24",3502705,"Apiaí",8
"25",3502754,"Araçariguama",11
"26",3502804,"Araçatuba",199
"27",3502903,"Araçoiaba da Serra",14
"28",3503000,"Aramina",5
"29",3503109,"Arandu",1
"30",3503208,"Araraquara",222
"31",3503307,"Araras",112
"32",3503406,"Arealva",1
"33",3503604,"Areiópolis",5
"34",3503703,"Ariranha",4
"35",3503802,"Artur Nogueira",20
"36",3503901,"Arujá",38
"37",3504008,"Assis",72
"38",3504107,"Atibaia",114
"39",3504206,"Auriflama",31
"40",3504404,"Avanhandava",5
"41",3504503,"Avaré",67
"42",3504602,"Bady Bassitt",17
"43",3504800,"Bálsamo",8
"44",3504909,"Bananal",7
"45",3505005,"Barão de Antonina",1
"46",3505104,"Barbosa",1
"47",3505203,"Bariri",39
"48",3505302,"Barra Bonita",52
"49",3505401,"Barra do Turvo",1
"50",3505500,"Barretos",105
"51",3505609,"Barrinha",16
"52",3505708,"Barueri",231
"53",3505807,"Bastos",27
"54",3505906,"Batatais",38
"55",3506003,"Bauru",355
"56",3506102,"Bebedouro",57
"57",3506300,"Bernardino de Campos",10
"58",3506359,"Bertioga",23
"59",3506409,"Bilac",20
"60",3506508,"Birigui",848
"61",3506607,"Biritiba Mirim",4
"62",3506706,"Boa Esperança do Sul",4
"63",3506805,"Bocaina",8
"64",3506904,"Bofete",1
"65",3507001,"Boituva",43
"66",3507100,"Bom Jesus dos Perdões",11
"67",3507159,"Bom Sucesso de Itararé",1
"68",3507308,"Boracéia",4
"69",3507407,"Borborema",8
"70",3507456,"Borebi",1
"71",3507506,"Botucatu",110
"72",3507605,"Bragança Paulista",130
"73",3507704,"Braúna",8
"74",3507803,"Brodowski",22
"75",3507902,"Brotas",12
"76",3508009,"Buri",7
"77",3508108,"Buritama",9
"78",3508306,"Cabrália Paulista",1
"79",3508405,"Cabreúva",21
"80",3508504,"Caçapava",61
"81",3508603,"Cachoeira Paulista",10
