"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"1","10996",1,0,0,0,1,354910,2305,"1099699","03","01","Cnpj",35,"13",13877752,5,5,0,3549102,"SP","Campinas","São João da Boa Vista","São João da Boa Vista","-21.9707","-46.7944"
"2","10996",1,0,0,0,0,351907,2135,"1099699","02","01","Cnpj",35,"13",13185005,1,1,0,3519071,"SP","Campinas","Campinas","Hortolândia","-22.8529","-47.2143"
"3","10996",1,0,0,0,1,355030,2062,"1099604","02","01","Cnpj",35,"13",8215320,2,2,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"4","10996",1,0,1,0,0,351380,2062,"1099699","04","01","Cnpj",35,"13",9980380,11,11,0,3513801,"SP","Metropolitana de São Paulo","São Paulo","Diadema","-23.6813","-46.6205"
"5","10996",1,0,0,0,1,354980,2305,"1099699","03","01","Cnpj",35,"13",15043110,7,7,0,3549805,"SP","São José do Rio Preto","São José do Rio Preto","São José do Rio Preto","-20.8113","-49.3758"
"6","10996",1,0,0,0,1,354910,2062,"1099699","03","01","Cnpj",35,"13",13874227,6,6,0,3549102,"SP","Campinas","São João da Boa Vista","São João da Boa Vista","-21.9707","-46.7944"
"7","10996",1,0,0,0,1,351860,2062,"1099699","03","01","Cnpj",35,"13",14840000,6,6,0,3518602,"SP","Ribeirão Preto","Jaboticabal","Guariba","-21.3594","-48.2316"
"8","10996",1,0,0,0,1,354640,2135,"1099605","02","01","Cnpj",35,"13",99999999,3,3,0,3546405,"SP","Assis","Ourinhos","Santa Cruz do Rio Pardo","-22.8988","-49.6354"
"9","10996",1,0,0,0,0,351110,2062,"1099602","03","01","Cnpj",35,"13",15803295,6,6,0,3511102,"SP","São José do Rio Preto","Catanduva","Catanduva","-21.1314","-48.977"
"10","10996",1,0,0,0,0,351300,2062,"1099602","05","01","Cnpj",35,"13",6716020,22,22,0,3513009,"SP","Metropolitana de São Paulo","Itapecerica da Serra","Cotia","-23.6022","-46.919"
"11","10996",1,0,0,0,1,355030,2062,"1099604","03","01","Cnpj",35,"13",5160030,7,7,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"12","10996",1,0,0,0,1,354780,2135,"1099699","03","01","Cnpj",35,"13",9240070,6,6,0,3547809,"SP","Metropolitana de São Paulo","São Paulo","Santo André","-23.6737","-46.5432"
"13","10996",1,0,0,0,0,350390,2062,"1099699","05","01","Cnpj",35,"13",99999999,47,47,0,3503901,"SP","Metropolitana de São Paulo","Guarulhos","Arujá","-23.3965","-46.32"
