"","CO_MUNICIPIO","NOME_MUNICIPIO","QTD"
"1",3500105,"Adamantina",14
"2",3500204,"Adolfo",2
"3",3500303,"Aguaí",4
"4",3500402,"Águas da Prata",1
"5",3500501,"Águas de Lindóia",3
"6",3500550,"Águas de Santa Bárbara",1
"7",3500709,"Agudos",10
"8",3500758,"Alambari",3
"9",3500808,"Alfredo Marcondes",2
"10",3501004,"Altinópolis",2
"11",3501152,"Alumínio",1
"12",3501301,"Álvares Machado",7
"13",3501608,"Americana",88
"14",3501707,"Américo Brasiliense",3
"15",3501806,"Américo de Campos",2
"16",3501905,"Amparo",17
"17",3502002,"Analândia",4
"18",3502101,"Andradina",5
"19",3502200,"Angatuba",1
"20",3502309,"Anhembi",1
"21",3502507,"Aparecida",2
"22",3502754,"Araçariguama",1
"23",3502804,"Araçatuba",70
"24",3502903,"Araçoiaba da Serra",3
"25",3503000,"Aramina",1
"26",3503109,"Arandu",1
"27",3503208,"Araraquara",44
"28",3503307,"Araras",42
"29",3503356,"Arco-Íris",2
"30",3503406,"Arealva",2
"31",3503703,"Ariranha",7
"32",3503802,"Artur Nogueira",6
"33",3503901,"Arujá",10
"34",3504008,"Assis",15
"35",3504107,"Atibaia",37
"36",3504206,"Auriflama",8
"37",3504404,"Avanhandava",2
"38",3504503,"Avaré",16
"39",3504602,"Bady Bassitt",2
"40",3504800,"Bálsamo",8
"41",3505302,"Barra Bonita",7
"42",3505500,"Barretos",20
"43",3505609,"Barrinha",5
"44",3505708,"Barueri",45
"45",3505807,"Bastos",2
"46",3505906,"Batatais",21
"47",3506003,"Bauru",72
"48",3506102,"Bebedouro",11
"49",3506300,"Bernardino de Campos",2
"50",3506359,"Bertioga",8
"51",3506409,"Bilac",2
"52",3506508,"Birigui",42
"53",3506607,"Biritiba Mirim",1
"54",3506706,"Boa Esperança do Sul",1
"55",3506904,"Bofete",1
"56",3507001,"Boituva",17
"57",3507100,"Bom Jesus dos Perdões",5
"58",3507308,"Boracéia",1
"59",3507407,"Borborema",3
"60",3507506,"Botucatu",22
"61",3507605,"Bragança Paulista",24
"62",3507704,"Braúna",2
"63",3507803,"Brodowski",19
"64",3507902,"Brotas",3
"65",3508108,"Buritama",3
"66",3508207,"Buritizal",3
"67",3508405,"Cabreúva",7
"68",3508504,"Caçapava",4
"69",3508603,"Cachoeira Paulista",2
"70",3508702,"Caconde",1
"71",3508801,"Cafelândia",1
"72",3509007,"Caieiras",14
"73",3509205,"Cajamar",22
"74",3509254,"Cajati",1
"75",3509403,"Cajuru",6
"76",3509502,"Campinas",184
"77",3509601,"Campo Limpo Paulista",13
"78",3509700,"Campos do Jordão",6
"79",3510005,"Cândido Mota",7
"80",3510203,"Capão Bonito",7
"81",3510401,"Capivari",25
"82",3510500,"Caraguatatuba",7
"83",3510609,"Carapicuíba",56
"84",3510708,"Cardoso",3
"85",3510807,"Casa Branca",2
"86",3511003,"Castilho",1
"87",3511102,"Catanduva",33
"88",3511201,"Catiguá",2
"89",3511300,"Cedral",10
"90",3511409,"Cerqueira César",1
"91",3511508,"Cerquilho",11
"92",3511607,"Cesário Lange",1
"93",3511706,"Charqueada",1
"94",3511904,"Clementina",1
"95",3512001,"Colina",2
"96",3512209,"Conchal",17
"97",3512308,"Conchas",7
"98",3512407,"Cordeirópolis",5
"99",3512704,"Corumbataí",2
