"","CO_MUNICIPIO","NOME_MUNICIPIO.x","QTD"
"1",3500105,"Adamantina",40
"2",3500204,"Adolfo",4
"3",3500303,"Aguaí",9
"4",3500402,"Águas da Prata",2
"5",3500501,"Águas de Lindóia",19
"6",3500550,"Águas de Santa Bárbara",4
"7",3500600,"Águas de São Pedro",2
"8",3500709,"Agudos",27
"9",3500758,"Alambari",0
"10",3500808,"Alfredo Marcondes",1
"11",3500907,"Altair",0
"12",3501004,"Altinópolis",11
"13",3501103,"Alto Alegre",5
"14",3501152,"Alumínio",4
"15",3501202,"Álvares Florence",1
"16",3501301,"Álvares Machado",20
"17",3501400,"Álvaro de Carvalho",0
"18",3501509,"Alvinlândia",0
"19",3501608,"Americana",393
"20",3501707,"Américo Brasiliense",16
"21",3501806,"Américo de Campos",3
"22",3501905,"Amparo",84
"23",3502002,"Analândia",0
"24",3502101,"Andradina",47
"25",3502200,"Angatuba",13
"26",3502309,"Anhembi",3
"27",3502408,"Anhumas",0
"28",3502507,"Aparecida",67
"29",3502606,"Aparecida d'Oeste",1
"30",3502705,"Apiaí",8
"31",3502754,"Araçariguama",11
"32",3502804,"Araçatuba",199
"33",3502903,"Araçoiaba da Serra",14
"34",3503000,"Aramina",5
"35",3503109,"Arandu",1
"36",3503158,"Arapeí",0
"37",3503208,"Araraquara",222
"38",3503307,"Araras",112
"39",3503356,"Arco-Íris",0
"40",3503406,"Arealva",1
"41",3503505,"Areias",0
"42",3503604,"Areiópolis",5
"43",3503703,"Ariranha",4
"44",3503802,"Artur Nogueira",20
"45",3503901,"Arujá",38
"46",3503950,"Aspásia",0
"47",3504008,"Assis",72
"48",3504107,"Atibaia",114
"49",3504206,"Auriflama",31
"50",3504305,"Avaí",0
"51",3504404,"Avanhandava",5
"52",3504503,"Avaré",67
"53",3504602,"Bady Bassitt",17
"54",3504701,"Balbinos",0
"55",3504800,"Bálsamo",8
"56",3504909,"Bananal",7
"57",3505005,"Barão de Antonina",1
"58",3505104,"Barbosa",1
"59",3505203,"Bariri",39
"60",3505302,"Barra Bonita",52
"61",3505351,"Barra do Chapéu",0
"62",3505401,"Barra do Turvo",1
"63",3505500,"Barretos",105
"64",3505609,"Barrinha",16
"65",3505708,"Barueri",231
"66",3505807,"Bastos",27
"67",3505906,"Batatais",38
"68",3506003,"Bauru",355
"69",3506102,"Bebedouro",57
"70",3506201,"Bento de Abreu",0
"71",3506300,"Bernardino de Campos",10
"72",3506359,"Bertioga",23
"73",3506409,"Bilac",20
"74",3506508,"Birigui",848
"75",3506607,"Biritiba Mirim",4
"76",3506706,"Boa Esperança do Sul",4
"77",3506805,"Bocaina",8
"78",3506904,"Bofete",1
"79",3507001,"Boituva",43
"80",3507100,"Bom Jesus dos Perdões",11
