"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"1","30920",1,0,0,0,1,353440,2062,"3092000","04","01","Cnpj",35,"06",6230030,16,16,0,3534401,"SP","Metropolitana de São Paulo","Osasco","Osasco","-23.5324","-46.7916"
"2","30423",1,0,0,0,1,350280,2062,"3042300","03","01","Cnpj",35,"06",16075260,6,6,0,3502804,"SP","Araçatuba","Araçatuba","Araçatuba","-21.2076","-50.4401"
"3","30121",1,0,0,0,1,352050,2305,"3012100","04","01","Cnpj",35,"06",13347680,15,15,0,3520509,"SP","Campinas","Campinas","Indaiatuba","-23.0816","-47.2101"
"4","30920",1,0,0,0,0,353070,2305,"3092000","05","01","Cnpj",35,"06",13849104,45,45,0,3530706,"SP","Campinas","Mogi Mirim","Mogi Guaçu","-22.3675","-46.9428"
"5","30121",1,0,0,0,1,355715,2062,"3012100","01","01","Cnpj",35,"06",15265000,0,0,0,3557154,"SP","São José do Rio Preto","São José do Rio Preto","Zacarias","-21.0506","-50.0552"
"6","30920",1,0,0,0,1,355030,2062,"3092000","05","01","Cnpj",35,"06",5847000,48,48,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"7","30326",1,0,0,0,0,352400,2062,"3032600","07","01","Cnpj",35,"06",13295970,117,117,0,3524006,"SP","Macro Metropolitana Paulista","Jundiaí","Itupeva","-23.1526","-47.0593"
"8","30920",1,0,0,0,1,351060,2135,"3092000","02","01","Cnpj",35,"06",6390305,3,3,0,3510609,"SP","Metropolitana de São Paulo","Osasco","Carapicuíba","-23.5235","-46.8407"
"9","30423",1,0,0,0,1,351920,2305,"3042300","03","01","Cnpj",35,"06",17680000,7,7,0,3519204,"SP","Marília","Tupã","Iacri","-21.8572","-50.6932"
"10","30911",1,0,0,0,1,351380,2062,"3091102","04","01","Cnpj",35,"06",9980040,12,12,0,3513801,"SP","Metropolitana de São Paulo","São Paulo","Diadema","-23.6813","-46.6205"
"11","30920",1,0,0,0,1,355080,2062,"3092000","04","01","Cnpj",35,"06",13790000,11,11,0,3550803,"SP","Campinas","São João da Boa Vista","São Sebastião da Grama","-21.7041","-46.8208"
"12","30423",1,0,0,0,0,354990,2062,"3042300","05","01","Cnpj",35,"06",12238565,27,27,0,3549904,"SP","Vale do Paraíba Paulista","São José dos Campos","São José dos Campos","-23.1896","-45.8841"
"13","30415",1,0,0,0,0,354870,2054,"3041500","05","01","Cnpj",35,"06",9852075,49,49,0,3548708,"SP","Metropolitana de São Paulo","São Paulo","São Bernardo do Campo","-23.6914","-46.5646"
"14","30920",1,0,0,0,1,351880,2062,"3092000","06","01","Cnpj",35,"06",7250130,90,90,0,3518800,"SP","Metropolitana de São Paulo","Guarulhos","Guarulhos","-23.4538","-46.5333"
"15","30423",1,0,0,0,0,355030,2054,"3042300","05","01","Cnpj",35,"06",4363100,31,31,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"16","30997",1,0,0,0,1,355640,2062,"3099700","05","01","Cnpj",35,"06",13880000,22,22,0,3556404,"SP","Campinas","São João da Boa Vista","Vargem Grande do Sul","-21.8322","-46.8913"
"17","30920",1,0,0,0,1,354390,2062,"3092000","02","01","Cnpj",35,"06",13500190,1,1,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546"
"18","30318",1,0,0,0,0,351907,2062,"3031800","05","01","Cnpj",35,"06",13184902,30,30,0,3519071,"SP","Campinas","Campinas","Hortolândia","-22.8529","-47.2143"
"19","30997",1,0,0,0,1,350650,2062,"3099700","04","01","Cnpj",35,"06",16201421,19,19,0,3506508,"SP","Araçatuba","Birigui","Birigui","-21.291","-50.3432"
"20","30920",1,0,0,0,0,355080,2062,"3092000","02","01","Cnpj",35,"06",13790000,2,2,0,3550803,"SP","Campinas","São João da Boa Vista","São Sebastião da Grama","-21.7041","-46.8208"
"21","30997",1,0,0,0,1,350420,2135,"3099700","02","01","Cnpj",35,"06",15350000,3,3,0,3504206,"SP","São José do Rio Preto","Auriflama","Auriflama","-20.6836","-50.5572"
"22","30997",1,0,1,0,1,353870,2062,"3099700","05","01","Cnpj",35,"06",13422170,27,27,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476"
"23","30920",1,0,0,0,1,352220,2135,"3092000","02","01","Cnpj",35,"06",6852870,2,2,0,3522208,"SP","Metropolitana de São Paulo","Itapecerica da Serra","Itapecerica da Serra","-23.7161","-46.8572"
"24","30326",1,0,0,0,0,351518,2062,"3032600","05","01","Cnpj",35,"06",13990000,29,29,0,3515186,"SP","Campinas","São João da Boa Vista","Espírito Santo do Pinhal","-22.1909","-46.7477"
"25","30920",1,0,0,0,1,355280,2135,"3092000","02","01","Cnpj",35,"06",6795030,2,2,0,3552809,"SP","Metropolitana de São Paulo","Itapecerica da Serra","Taboão da Serra","-23.6019","-46.7526"
"26","30415",1,0,0,0,1,354140,2062,"3041500","03","01","Cnpj",35,"06",19050310,5,5,0,3541406,"SP","Presidente Prudente","Presidente Prudente","Presidente Prudente","-22.1207","-51.3925"
"27","30113",1,0,0,0,0,354850,2062,"3011302","02","01","Cnpj",35,"06",11075330,2,2,0,3548500,"SP","Metropolitana de São Paulo","Santos","Santos","-23.9535","-46.335"
"28","30326",1,0,0,0,0,351907,2062,"3032600","02","01","Cnpj",35,"06",13184889,4,4,0,3519071,"SP","Campinas","Campinas","Hortolândia","-22.8529","-47.2143"
"29","30911",1,0,0,0,1,354880,2062,"3091102","02","01","Cnpj",35,"06",9581210,2,2,0,3548807,"SP","Metropolitana de São Paulo","São Paulo","São Caetano do Sul","-23.6229","-46.5548"
"30","30997",1,0,0,0,1,355030,2062,"3099700","03","01","Cnpj",35,"06",3108030,6,6,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"31","30920",1,0,0,0,1,350330,2305,"3092000","04","01","Cnpj",35,"06",13602100,19,19,0,3503307,"SP","Piracicaba","Limeira","Araras","-22.3572","-47.3842"
"32","30911",1,0,0,0,1,350320,2062,"3091102","05","01","Cnpj",35,"06",14808113,31,31,0,3503208,"SP","Araraquara","Araraquara","Araraquara","-21.7845","-48.178"
"33","30997",1,0,0,0,0,355410,2062,"3099700","02","01","Cnpj",35,"06",12091590,4,4,0,3554102,"SP","Vale do Paraíba Paulista","São José dos Campos","Taubaté","-23.0104","-45.5593"
"34","30920",1,0,0,0,1,352260,2135,"3092000","05","01","Cnpj",35,"06",13973092,20,20,0,3522604,"SP","Campinas","Mogi Mirim","Itapira","-22.4357","-46.8224"
