"","CO_MUNICIPIO","NOME_MUNICIPIO","QTD"
"1",3501608,"Americana",4
"2",3503208,"Araraquara",1
"3",3504008,"Assis",4
"4",3504107,"Atibaia",2
"5",3505708,"Barueri",6
"6",3506003,"Bauru",1
"7",3506102,"Bebedouro",1
"8",3506359,"Bertioga",1
"9",3507605,"Bragança Paulista",1
"10",3508108,"Buritama",1
"11",3509502,"Campinas",2
"12",3510500,"Caraguatatuba",1
"13",3510609,"Carapicuíba",2
"14",3511102,"Catanduva",2
"15",3513009,"Cotia",6
"16",3513603,"Cunha",1
"17",3513801,"Diadema",1
"18",3515103,"Embu-Guaçu",1
"19",3515707,"Ferraz de Vasconcelos",1
"20",3516200,"Franca",10
"21",3518800,"Guarulhos",2
"22",3520509,"Indaiatuba",1
"23",3521150,"Ipiguá",1
"24",3524402,"Jacareí",1
"25",3525003,"Jandira",1
"26",3525300,"Jaú",3
"27",3525904,"Jundiaí",4
"28",3526704,"Leme",1
"29",3526902,"Limeira",92
"30",3529005,"Marília",2
"31",3529500,"Mendonça",1
"32",3530706,"Mogi Guaçu",1
"33",3530805,"Mogi Mirim",1
"34",3531407,"Monte Aprazível",1
"35",3533502,"Novo Horizonte",1
"36",3534708,"Ourinhos",1
"37",3537305,"Penápolis",1
"38",3538709,"Piracicaba",7
"39",3539301,"Pirassununga",12
"40",3540507,"Porangaba",1
"41",3541406,"Presidente Prudente",3
"42",3543402,"Ribeirão Preto",3
"43",3543907,"Rio Claro",1
"44",3545803,"Santa Bárbara d'Oeste",2
"45",3546603,"Santa Fé do Sul",1
"46",3547809,"Santo André",3
"47",3548500,"Santos",2
"48",3548906,"São Carlos",1
"49",3549409,"São Joaquim da Barra",1
"50",3549805,"São José do Rio Preto",122
"51",3549904,"São José dos Campos",3
"52",3550308,"São Paulo",207
"53",3552106,"Socorro",1
"54",3553708,"Taquaritinga",1
"55",3554508,"Tietê",1
"56",3555802,"Urânia",1
"57",3556206,"Valinhos",1
"58",3556503,"Várzea Paulista",1
"59",3557105,"Votuporanga",1
