"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"192","01598",0,0,0,1,0,350590,4081,"0159801","01","01","Cnpj",35,"25",14300000,0,0,0,3505906,"SP","Ribeirão Preto","Batatais","Batatais","-20.8929","-47.5921"
"193","01598",1,0,0,1,0,352265,4120,"0159801","01","01","Cnpj",35,"25",18385000,0,0,0,3522653,"SP","Itapetininga","Capão Bonito","Itapirapuã Paulista","-24.572","-49.1661"
"194","01598",1,0,0,1,0,351020,4120,"0159801","01","01","Cnpj",35,"25",18303130,0,0,0,3510203,"SP","Itapetininga","Capão Bonito","Capão Bonito","-24.0113","-48.3482"
"195","01598",1,0,0,1,0,353880,4120,"0159801","01","01","Cnpj",35,"25",99999999,0,0,0,3538808,"SP","Assis","Ourinhos","Piraju","-23.1981","-49.3803"
"196","01598",1,0,0,1,1,355030,2135,"0159801","01","01","Cnpj",35,"25",3547040,0,0,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"197","01598",1,0,0,1,1,352270,4120,"0159801","01","01","Cnpj",35,"25",14900000,0,0,0,3522703,"SP","Araraquara","Araraquara","Itápolis","-21.5942","-48.8149"
"198","01598",0,0,0,1,0,354820,4120,"0159801","01","01","Cnpj",35,"25",12450000,0,0,0,3548203,"SP","Vale do Paraíba Paulista","Campos do Jordão","Santo Antônio do Pinhal","-22.827","-45.663"
"199","01598",0,0,0,1,0,353060,4120,"0159801","01","01","Cnpj",35,"25",8790260,0,0,0,3530607,"SP","Metropolitana de São Paulo","Mogi das Cruzes","Mogi das Cruzes","-23.5208","-46.1854"
"200","01598",1,0,0,1,0,350670,4120,"0159801","01","01","Cnpj",35,"25",14930000,0,0,0,3506706,"SP","Araraquara","Araraquara","Boa Esperança do Sul","-21.9918","-48.3906"
"201","01598",1,0,0,1,0,354910,4120,"0159801","01","01","Cnpj",35,"25",13870970,0,0,0,3549102,"SP","Campinas","São João da Boa Vista","São João da Boa Vista","-21.9707","-46.7944"
"202","01598",0,0,0,1,0,351840,4120,"0159801","01","01","Cnpj",35,"25",99999999,0,0,0,3518404,"SP","Vale do Paraíba Paulista","Guaratinguetá","Guaratinguetá","-22.8075","-45.1938"
"203","01598",1,0,0,1,1,350320,2135,"0159801","01","01","Cnpj",35,"25",14807120,0,0,0,3503208,"SP","Araraquara","Araraquara","Araraquara","-21.7845","-48.178"
"204","01598",1,0,0,1,1,351910,4081,"0159801","01","01","Cnpj",35,"25",17180000,0,0,0,3519105,"SP","Bauru","Bauru","Iacanga","-21.8896","-49.031"
"205","01598",1,0,0,1,0,353620,4120,"0159801","01","01","Cnpj",35,"25",11930000,0,0,0,3536208,"SP","Litoral Sul Paulista","Registro","Pariquera-Açu","-24.7147","-47.8742"
"206","01598",1,0,0,1,0,352265,4081,"0159801","01","01","Cnpj",35,"25",18385000,0,0,0,3522653,"SP","Itapetininga","Capão Bonito","Itapirapuã Paulista","-24.572","-49.1661"
"207","01598",1,0,0,1,0,350670,4120,"0159801","01","01","Cnpj",35,"25",14930000,0,0,0,3506706,"SP","Araraquara","Araraquara","Boa Esperança do Sul","-21.9918","-48.3906"
"208","01598",1,0,0,1,0,350740,4120,"0159801","01","01","Cnpj",35,"25",14955000,0,0,0,3507407,"SP","Araraquara","Araraquara","Borborema","-21.6214","-49.0741"
