"","CO_MUNICIPIO","NOME_MUNICIPIO","QTD"
"1",3500303,"Aguaí",2
"2",3501301,"Álvares Machado",1
"3",3501608,"Americana",3
"4",3501707,"Américo Brasiliense",1
"5",3501905,"Amparo",1
"6",3502200,"Angatuba",2
"7",3502507,"Aparecida",1
"8",3502705,"Apiaí",1
"9",3502754,"Araçariguama",1
"10",3503000,"Aramina",1
"11",3503208,"Araraquara",3
"12",3503307,"Araras",3
"13",3503901,"Arujá",3
"14",3504008,"Assis",6
"15",3504107,"Atibaia",5
"16",3504602,"Bady Bassitt",2
"17",3505708,"Barueri",10
"18",3505906,"Batatais",1
"19",3506003,"Bauru",7
"20",3506607,"Biritiba Mirim",1
"21",3507001,"Boituva",3
"22",3507159,"Bom Sucesso de Itararé",1
"23",3507407,"Borborema",2
"24",3507506,"Botucatu",1
"25",3507605,"Bragança Paulista",14
"26",3507753,"Brejo Alegre",1
"27",3508108,"Buritama",1
"28",3508405,"Cabreúva",4
"29",3508504,"Caçapava",3
"30",3508603,"Cachoeira Paulista",2
"31",3508702,"Caconde",1
"32",3509007,"Caieiras",4
"33",3509205,"Cajamar",4
"34",3509452,"Campina do Monte Alegre",1
"35",3509502,"Campinas",8
"36",3509957,"Canas",2
"37",3510401,"Capivari",1
"38",3511003,"Castilho",1
"39",3511607,"Cesário Lange",1
"40",3511706,"Charqueada",1
"41",3512407,"Cordeirópolis",6
"42",3512803,"Cosmópolis",4
"43",3513009,"Cotia",3
"44",3513108,"Cravinhos",1
"45",3513702,"Descalvado",5
"46",3513801,"Diadema",13
"47",3514403,"Dracena",2
"48",3514809,"Eldorado",1
"49",3514957,"Embaúba",1
"50",3515004,"Embu das Artes",2
"51",3515103,"Embu-Guaçu",1
"52",3515509,"Fernandópolis",1
"53",3515707,"Ferraz de Vasconcelos",3
"54",3516200,"Franca",1
"55",3516606,"Gália",1
"56",3517109,"Glicério",3
"57",3517604,"Guapiara",1
"58",3518206,"Guararapes",1
"59",3518305,"Guararema",4
"60",3518404,"Guaratinguetá",1
"61",3518701,"Guarujá",1
"62",3518800,"Guarulhos",16
"63",3519808,"Icém",3
"64",3520103,"Igarapava",1
"65",3520509,"Indaiatuba",5
"66",3521101,"Ipeúna",1
"67",3521408,"Iracemápolis",1
"68",3521705,"Itaberá",1
"69",3522208,"Itapecerica da Serra",2
"70",3522307,"Itapetininga",1
"71",3522406,"Itapeva",2
"72",3522703,"Itápolis",3
"73",3522802,"Itaporanga",1
"74",3523008,"Itapura",2
"75",3523107,"Itaquaquecetuba",5
"76",3523404,"Itatiba",6
"77",3523503,"Itatinga",1
"78",3523602,"Itirapina",1
"79",3523909,"Itu",5
"80",3524006,"Itupeva",4
"81",3524303,"Jaboticabal",1
"82",3524402,"Jacareí",2
"83",3524600,"Jacupiranga",2
"84",3524907,"Jambeiro",1
"85",3525003,"Jandira",2
"86",3525102,"Jardinópolis",2
"87",3525300,"Jaú",1
"88",3525706,"José Bonifácio",2
"89",3525854,"Jumirim",2
"90",3525904,"Jundiaí",5
"91",3526407,"Laranjal Paulista",1
"92",3526704,"Leme",1
"93",3526803,"Lençóis Paulista",1
"94",3526902,"Limeira",5
"95",3527108,"Lins",1
"96",3527207,"Lorena",4
"97",3527306,"Louveira",3
"98",3527405,"Lucélia",1
"99",3528502,"Mairiporã",4
"100",3529302,"Matão",1
"101",3529401,"Mauá",3
"102",3529906,"Miracatu",1
"103",3530508,"Mococa",1
"104",3530607,"Mogi das Cruzes",13
"105",3530706,"Mogi Guaçu",3
"106",3530805,"Mogi Mirim",1
"107",3531001,"Monções",3
"108",3531100,"Mongaguá",1
"109",3531209,"Monte Alegre do Sul",1
"110",3531308,"Monte Alto",5
"111",3531407,"Monte Aprazível",1
"112",3532009,"Morungaba",1
"113",3532058,"Motuca",1
"114",3532108,"Murutinga do Sul",1
"115",3532207,"Narandiba",1
"116",3532827,"Nova Campina",7
"117",3533007,"Nova Granada",1
